text,link
생리중에 돼지국밥 먹어도 되나요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=71104&docId=483972405&qb=6rWt67Cl&enc=utf8
강아지 국밥 먹어도되나요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70301&docId=482883731&qb=6rWt67Cl&enc=utf8
급해요!! 위염인데 국밥 먹어도 될까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70301&docId=483410635&qb=6rWt67Cl&enc=utf8
병때문에 죽 먹고 있었는데 국밥 먹어도... ,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=71103&docId=483770947&qb=6rWt67Cl&enc=utf8
사랑니 발치 국밥,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70205&docId=475180723&qb=6rWt67Cl&enc=utf8
아롱사태 가 소머리 국밥인가요 ?,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8020605&docId=484915926&qb=6rWt67Cl&enc=utf8
다이어트시 국밥,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8030401&docId=484888209&qb=6rWt67Cl&enc=utf8
마라탕vs돼지국밥 칼로리 비교,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8030401&docId=477852616&qb=6rWt67Cl&enc=utf8
국밥창업 알아보는데 어떨지,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=31504&docId=484579657&qb=6rWt67Cl&enc=utf8
국밥집창업 어려울까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70701&docId=484339400&qb=6rWt67Cl&enc=utf8
국밥창업 하려고하는데,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60205&docId=477764199&qb=6rWt67Cl&enc=utf8
다이어트 하는데 국밥 짜장면,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=71104&docId=475450853&qb=6rWt67Cl&enc=utf8
국밥창업 장사 잘되나요,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=609&docId=481158712&qb=6rWt67Cl&enc=utf8
광주 국밥 맛집 어디가 맛있나요?,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80208&docId=483842591&qb=6rWt67Cl&enc=utf8
고양이 돼지국밥 먹어도 되나요?,https://kin.naver.com/qna/detail.naver?d1id=13&dirId=13050202&docId=480992062&qb=6rWt67Cl&enc=utf8
A형 독감에 콩나물국밥,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010101&docId=479930177&qb=6rWt67Cl&enc=utf8
국밥 칼로리 국물빼고 계산 부탁드립니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=706&docId=484647903&qb=6rWt67Cl&enc=utf8
"부산 노포역,구서역 근방 국밥집 추천좀요",https://kin.naver.com/qna/detail.naver?d1id=12&dirId=12020405&docId=482293856&qb=6rWt67Cl&enc=utf8
국밥에 소주,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80205&docId=483159191&qb=6rWt67Cl&enc=utf8
국밥창업.,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80208&docId=484557543&qb=6rWt67Cl&enc=utf8
