text,link
"GD랑 셀카 찍은 꿈, 유튜버 본 꿈 해몽 좀... ",https://kin.naver.com/qna/detail.naver?d1id=3&dirId=31505&docId=484963186&qb=Z2Q=&enc=utf8
GD 콘서트 어디서 예매하나요??,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30215&docId=481680860&qb=Z2Q=&enc=utf8
2025 GD 콘서트 티켓 몇 장을 구매할 수... ,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30215&docId=481667573&qb=Z2Q=&enc=utf8
가시안 가스차단기 GD-1029 시간설정 방법,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8080101&docId=484780340&qb=Z2Q=&enc=utf8
gd와 친구들은 어떤 방송인가요?,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30102&docId=479065372&qb=Z2Q=&enc=utf8
GD - black 비슷한 노래,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30202&docId=482520628&qb=Z2Q=&enc=utf8
sbs 가요대전 gd 무대 퀄리티가 왜... ,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30215&docId=479602029&qb=Z2Q=&enc=utf8
권지용 GD 지드래곤 콘서트 예매 및... ,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30215&docId=477268755&qb=Z2Q=&enc=utf8
gd콘서트 애매 끝났나요?,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30215&docId=482482183&qb=Z2Q=&enc=utf8
청소년 ts gd비듬샴푸 중1써도되나요... ,https://kin.naver.com/qna/detail.naver?d1id=13&dirId=130506&docId=399518675&qb=Z2Q=&enc=utf8
i30 PD 핸들을 i30 GD로,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50703&docId=474418276&qb=Z2Q=&enc=utf8
권지용 GD 콘서트 예매 방법,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=302140101&docId=480145193&qb=Z2Q=&enc=utf8
GD콘서트 티켓팅 질문모음,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30215&docId=480630545&qb=Z2Q=&enc=utf8
gd와 친구들의 출연진은 누구인가요?,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30102&docId=479065382&qb=Z2Q=&enc=utf8
GD의 too good(?)라는 노래가... ,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=302&docId=483815582&qb=Z2Q=&enc=utf8
GD 앨범 겔럭시 가능한가요?,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30202&docId=481688203&qb=Z2Q=&enc=utf8
Sbs 가요대전 GD,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30215&docId=479564882&qb=Z2Q=&enc=utf8
조세호랑 GD 같이 나온 유튜브 영상... ,https://kin.naver.com/qna/detail.naver?d1id=1&dirId=10610&docId=483724913&qb=Z2Q=&enc=utf8
GD콘서트 쿠팡 회원,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30215&docId=481859773&qb=Z2Q=&enc=utf8
봄여름가을겨울 GD머리,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8030205&docId=479711284&qb=Z2Q=&enc=utf8
